time_s,stage,true_lat,true_lon,true_alt_m,est_lat,est_lon,est_alt_m,pos_error_m,alt_error_m,vel_east_ms,vel_north_ms,vel_up_ms,ground_speed_ms,roll_deg,pitch_deg,yaw_deg,flight_path_angle_deg,distance_traveled_m,distance_to_target_m,gps_valid,tercom_active
17.3,CRUISE,56.0115825,94.9999623,376.23,56.0115831,94.9999704,375.94,0.5,-0.29,34.735,132.246,-54.32,147.126,0.0,338.33,14.72,-21.67,1385.56,99121.04,1,0
17.4,CRUISE,56.0117014,95.0000187,370.78,56.0117019,95.0000267,370.49,0.5,-0.29,35.554,132.318,-54.781,147.557,360.0,338.21,15.04,-21.79,1400.3,99107.83,1,0
17.5,CRUISE,56.0118202,95.0000763,365.28,56.0118204,95.0000842,365.14,0.49,-0.14,36.367,132.385,-55.222,147.979,0.0,338.09,15.36,-21.91,1415.07,99094.65,1,0
17.6,CRUISE,56.0119392,95.0001353,359.73,56.0119393,95.0001432,359.59,0.49,-0.14,37.17,132.469,-55.641,148.41,0.0,337.98,15.67,-22.02,1429.89,99081.43,1,0
17.7,CRUISE,56.0120582,95.0001955,354.15,56.0120584,95.0002035,354.11,0.5,-0.04,37.972,132.556,-56.039,148.84,360.0,337.88,15.98,-22.12,1444.76,99068.18,1,0
17.8,CRUISE,56.0121773,95.000257,348.53,56.0121775,95.000265,348.48,0.5,-0.04,38.762,132.652,-56.421,149.273,0.0,337.79,16.29,-22.21,1459.66,99054.94,1,0
17.9,CRUISE,56.0122964,95.0003198,342.87,56.0122951,95.00033,342.85,0.65,-0.02,39.557,132.739,-56.784,149.695,0.0,337.71,16.59,-22.29,1474.61,99041.87,1,0
18.0,CRUISE,56.0124157,95.0003839,337.17,56.0124143,95.000394,337.15,0.65,-0.02,40.333,132.848,-57.128,150.13,0.0,337.63,16.89,-22.37,1489.6,99028.61,1,0
18.1,CRUISE,56.0125351,95.0004491,331.44,56.0125318,95.0004562,331.32,0.57,-0.12,41.082,132.946,-57.463,150.546,360.0,337.56,17.17,-22.44,1504.64,99015.55,1,0
18.2,CRUISE,56.0126545,95.0005156,325.68,56.0126513,95.0005226,325.55,0.57,-0.12,41.842,133.066,-57.772,150.98,360.0,337.5,17.46,-22.5,1519.71,99002.27,1,0
