time_s,stage,true_lat,true_lon,true_alt_m,ground_alt_m,agl_m,est_lat,est_lon,est_alt_m,pos_error_m,alt_error_m,vel_east_ms,vel_north_ms,vel_up_ms,ground_speed_ms,roll_deg,pitch_deg,yaw_deg,flight_path_angle_deg,distance_traveled_m,distance_to_target_m,gps_valid,tercom_active
0.002,BOOST,56.0,95.0,317.0,317.0,0.0,56.0,95.0,317.0,0.0,0.0,-0.0,0.001,0.014,0.014,360.0,88.0,360.0,85.45,0.0,100409.02,1,0
0.1,BOOST,56.0,95.0,317.03,317.0,0.03,56.0,95.0,317.03,0.0,0.0,-0.005,0.053,0.677,0.679,360.0,87.98,360.0,85.54,0.03,100409.02,1,0
0.2,BOOST,56.0000001,95.0,317.14,317.0,0.14,56.0000001,95.0,317.14,0.0,0.0,-0.009,0.107,1.355,1.359,360.0,87.93,360.0,85.46,0.14,100409.01,1,0
0.3,BOOST,56.0000002,95.0,317.3,317.0,0.3,56.0000012,94.9999639,316.72,2.25,-0.58,-0.017,0.163,2.033,2.039,360.0,87.85,360.0,85.38,0.31,100408.89,1,0
0.4,BOOST,56.0000004,94.9999999,317.54,317.0,0.54,56.0000014,94.9999639,316.96,2.25,-0.58,-0.019,0.222,2.713,2.723,0.0,87.73,360.0,85.31,0.55,100408.87,1,0
0.5,BOOST,55.999995,94.9999996,317.82,317.0,0.82,55.9999731,94.9999623,316.62,3.37,-1.2,-0.223,-6.087,3.085,6.828,0.0,87.58,0.0,26.86,1.21,100412.01,1,0
0.6,BOOST,55.9999896,94.9999992,318.16,317.0,1.16,55.9999677,94.9999619,316.96,3.37,-1.2,-0.226,-6.018,3.768,7.104,360.0,87.4,360.0,32.03,1.91,100412.62,1,0
0.7,BOOST,55.9999853,95.0000014,318.79,317.0,1.79,55.999968,94.9999743,319.72,2.56,0.92,1.368,-4.67,6.728,8.304,0.0,87.18,0.0,54.12,2.71,100412.58,1,0
0.8,BOOST,55.9999812,95.0000036,319.5,317.0,2.5,55.9999638,94.9999765,320.42,2.56,0.92,1.365,-4.59,7.412,8.824,360.0,86.94,0.0,57.13,3.57,100413.04,1,0
0.9,BOOST,55.9999821,95.0000131,320.37,317.0,3.37,55.9999904,95.0000236,322.02,1.13,1.65,6.048,1.195,9.045,10.946,0.0,86.66,360.0,55.72,4.63,100410.09,1,0
