time_s,stage,true_lat,true_lon,true_alt_m,ground_alt_m,agl_m,est_lat,est_lon,est_alt_m,pos_error_m,alt_error_m,vel_east_ms,vel_north_ms,vel_up_ms,ground_speed_ms,roll_deg,pitch_deg,yaw_deg,flight_path_angle_deg,distance_traveled_m,distance_to_target_m,gps_valid,tercom_active
0.002,BOOST,56.0,95.0,317.0,317.0,0.0,56.0,95.0,317.0,0.0,0.0,0.0,0.001,0.014,0.014,360.0,88.0,0.0,84.88,0.0,100409.02,1,0
0.1,BOOST,56.0,95.0,317.03,317.0,0.03,56.0,95.0,317.03,0.0,0.0,0.003,0.056,0.678,0.681,360.0,87.98,0.0,85.27,0.03,100409.02,1,0
0.2,BOOST,56.0000001,95.0,317.14,317.0,0.14,56.0000001,95.0,317.14,0.0,0.0,0.004,0.114,1.358,1.363,360.0,87.93,0.0,85.2,0.14,100409.01,1,0
0.3,BOOST,56.0000002,95.0,317.3,317.0,0.3,56.0000345,94.9999919,312.67,3.85,-4.63,0.004,0.181,2.03,2.038,360.0,87.85,0.0,84.9,0.31,100405.18,1,0
0.4,BOOST,56.0000004,95.0,317.54,317.0,0.54,56.0000347,94.9999919,312.91,3.85,-4.63,0.007,0.242,2.711,2.722,0.0,87.73,0.0,84.89,0.55,100405.16,1,0
0.5,BOOST,55.9999938,95.0000203,317.92,317.0,0.92,55.9999999,95.0000951,314.72,4.72,-3.19,12.938,-7.536,4.115,15.528,0.0,87.58,0.0,15.37,2.07,100409.03,1,0
0.6,BOOST,55.999987,95.0000411,318.36,317.0,1.36,55.9999932,95.0001159,315.17,4.72,-3.19,12.939,-7.463,4.798,15.689,360.0,87.39,360.0,17.81,3.63,100409.78,1,0
0.7,BOOST,55.9999812,95.0000495,319.21,317.0,2.21,55.9999907,95.0000738,319.14,1.85,-0.06,5.067,-6.442,8.842,12.056,0.0,87.18,0.0,47.17,4.82,100410.05,1,0
0.8,BOOST,55.9999754,95.0000576,320.13,317.0,3.13,55.999985,95.0000819,320.06,1.85,-0.06,5.068,-6.357,9.526,12.524,360.0,86.93,360.0,49.52,6.05,100410.69,1,0
0.9,BOOST,55.9999652,95.0000665,321.12,317.0,4.12,55.9999516,95.000095,321.1,2.34,-0.02,5.59,-11.418,10.268,16.342,360.0,86.66,360.0,38.93,7.66,100414.4,1,0
1.0,BOOST,55.999955,95.0000755,322.18,317.0,5.18,55.9999414,95.000104,322.16,2.34,-0.02,5.591,-11.317,10.953,16.712,0.0,86.35,360.0,40.95,9.31,100415.54,1,0
1.1,BOOST,55.9999475,95.0000875,323.26,317.0,6.26,55.9999502,95.0001352,322.82,2.99,-0.43,7.526,-8.268,11.108,15.76,0.0,86.02,360.0,44.81,10.87,100414.55,1,1
1.2,BOOST,55.9999401,95.0000995,324.4,317.0,7.4,55.9999429,95.0001472,323.97,2.99,-0.43,7.527,-8.148,11.795,16.191,0.0,85.66,0.0,46.76,12.47,100415.37,1,1
1.3,BOOST,55.9999318,95.0001097,325.65,317.0,8.65,55.9999266,95.0001432,325.46,2.17,-0.2,6.341,-9.2,12.868,17.042,360.0,85.26,0.0,49.03,14.15,100417.18,1,1
1.4,BOOST,55.9999236,95.0001199,326.97,317.0,9.97,55.9999184,95.0001534,326.78,2.17,-0.2,6.342,-9.055,13.555,17.491,360.0,84.85,0.0,50.8,15.88,100418.09,1,1
1.5,BOOST,55.9999153,95.000128,328.51,317.0,11.51,55.9999077,95.0001429,329.37,1.25,0.86,5.018,-9.199,15.748,18.916,0.0,84.4,0.0,56.36,17.74,100419.28,1,1
1.6,BOOST,55.9999071,95.000136,330.12,317.0,13.12,55.9998995,95.0001509,330.98,1.25,0.86,5.019,-9.028,16.435,19.411,0.0,83.93,0.0,57.85,19.66,100420.19,1,1
1.7,BOOST,55.9998995,95.0001435,331.68,317.0,14.68,55.9998958,95.0001524,331.49,0.69,-0.19,4.651,-8.411,15.873,18.556,360.0,83.43,360.0,58.8,21.49,100420.6,1,1
1.8,BOOST,55.999892,95.000151,333.3,317.0,16.3,55.9998883,95.0001599,333.11,0.69,-0.19,4.654,-8.212,16.558,19.059,0.0,82.91,0.0,60.31,23.37,100421.43,1,1
1.9,BOOST,55.9998832,95.0001591,335.02,317.0,18.02,55.9998624,95.0001766,335.19,2.56,0.17,5.119,-9.676,17.601,20.727,0.0,82.36,0.0,58.12,25.42,100424.32,1,1
2.0,BOOST,55.9998747,95.0001673,336.82,317.0,19.82,55.9998538,95.0001848,336.98,2.56,0.17,5.119,-9.445,18.283,21.205,360.0,81.79,360.0,59.56,27.52,100425.27,1,1
