time_s,stage,true_lat,true_lon,true_alt_m,ground_alt_m,agl_m,est_lat,est_lon,est_alt_m,pos_error_m,alt_error_m,vel_east_ms,vel_north_ms,vel_up_ms,ground_speed_ms,roll_deg,pitch_deg,yaw_deg,flight_path_angle_deg,distance_traveled_m,distance_to_target_m,gps_valid,tercom_active
0.002,BOOST,56.0,95.0,317.0,317.0,0.0,56.0,95.0,317.0,0.0,-0.0,0.0,0.001,0.013,0.014,0.0,88.0,360.0,85.4,0.0,100409.02,1,0
0.1,BOOST,56.0,95.0,317.03,317.0,0.03,56.0,95.0,317.03,0.0,0.0,-0.001,0.059,0.678,0.68,0.0,87.98,360.0,85.03,0.03,100409.02,1,0
0.2,BOOST,56.0000001,95.0,317.14,317.0,0.14,56.0000001,95.0,317.14,0.0,0.0,-0.002,0.119,1.358,1.363,0.0,87.93,0.0,84.98,0.14,100409.01,1,0
0.3,BOOST,56.0000002,95.0,317.31,317.0,0.31,56.0000144,95.0000367,319.89,2.78,2.59,0.0,0.185,2.044,2.052,360.0,87.85,360.0,84.82,0.31,100407.41,1,0
0.4,BOOST,56.0000004,95.0,317.54,317.0,0.54,56.0000146,95.0000367,320.13,2.78,2.59,-0.001,0.251,2.726,2.738,360.0,87.73,360.0,84.73,0.55,100407.39,1,0
0.5,BOOST,55.9999942,94.9999979,317.65,317.0,0.65,55.9999819,95.0000258,316.14,2.22,-1.51,-1.359,-7.054,1.348,7.309,0.0,87.58,0.0,10.63,1.27,100411.03,1,0
0.6,BOOST,55.9999879,94.9999957,317.82,317.0,0.82,55.9999756,95.0000237,316.31,2.22,-1.51,-1.36,-6.979,2.033,7.395,0.0,87.4,0.0,15.96,2.0,100411.73,1,0
0.7,BOOST,55.9999856,94.9999938,318.22,317.0,1.22,55.9999894,95.0000232,318.26,1.88,0.05,-1.153,-2.41,4.385,5.135,360.0,87.18,0.0,58.65,2.5,100410.19,1,0
0.8,BOOST,55.9999835,94.999992,318.69,317.0,1.69,55.9999873,95.0000213,318.74,1.88,0.05,-1.155,-2.322,5.071,5.696,0.0,86.94,0.0,62.91,3.04,100410.43,1,0
0.9,BOOST,55.9999776,94.9999867,319.2,317.0,2.2,55.9999619,94.9999985,319.0,1.9,-0.21,-3.337,-6.573,5.429,9.155,360.0,86.66,0.0,36.37,3.93,100413.25,1,0
1.0,BOOST,55.9999718,94.9999814,319.78,317.0,2.78,55.9999561,94.9999932,319.57,1.9,-0.21,-3.339,-6.469,6.117,9.508,360.0,86.35,0.0,40.04,4.87,100413.9,1,0
1.1,BOOST,55.9999673,94.9999749,320.43,317.0,3.43,55.9999597,94.9999799,320.25,0.9,-0.17,-4.024,-4.897,6.845,9.329,360.0,86.02,360.0,47.2,5.78,100413.5,1,1
1.2,BOOST,55.9999629,94.9999685,321.15,317.0,4.15,55.9999554,94.9999735,320.97,0.9,-0.17,-4.025,-4.774,7.533,9.785,0.0,85.66,360.0,50.34,6.73,100413.98,1,1
1.3,BOOST,55.9999572,94.999962,321.84,317.0,4.84,55.9999381,94.9999664,321.04,2.15,-0.79,-4.073,-6.36,7.208,10.44,360.0,85.26,360.0,43.66,7.76,100415.9,1,1
1.4,BOOST,55.9999516,94.9999554,322.59,317.0,5.59,55.9999324,94.9999599,321.8,2.15,-0.79,-4.073,-6.213,7.897,10.843,360.0,84.85,0.0,46.75,8.82,100416.53,1,1
1.5,BOOST,55.9999466,94.9999477,323.56,317.0,6.56,55.9999319,94.9999411,323.82,1.68,0.26,-4.855,-5.483,10.088,12.467,360.0,84.4,360.0,54.02,10.04,100416.59,1,1
1.6,BOOST,55.9999417,94.9999399,324.61,317.0,7.61,55.9999271,94.9999333,324.86,1.68,0.26,-4.857,-5.311,10.777,12.959,360.0,83.93,360.0,56.27,11.32,100417.13,1,1
1.7,BOOST,55.9999385,94.9999331,325.72,317.0,8.72,55.9999387,94.9999369,325.98,0.24,0.26,-4.22,-3.481,11.469,12.707,360.0,83.43,360.0,64.5,12.56,100415.84,1,1
1.8,BOOST,55.9999354,94.9999263,326.9,317.0,9.9,55.9999356,94.9999301,327.16,0.24,0.26,-4.222,-3.28,12.157,13.281,0.0,82.91,360.0,66.26,13.86,100416.17,1,1
1.9,BOOST,55.9999308,94.9999183,328.09,317.0,11.09,55.9999108,94.999907,327.79,2.34,-0.31,-5.046,-5.046,12.274,14.197,0.0,82.36,360.0,59.83,15.25,100418.94,1,1
2.0,BOOST,55.9999264,94.9999102,329.36,317.0,12.36,55.9999063,94.9998989,329.05,2.34,-0.31,-5.047,-4.811,12.958,14.715,0.0,81.79,360.0,61.71,16.7,100419.43,1,1
2.1,BOOST,55.999923,94.9999018,330.71,317.0,13.71,55.9999128,94.999887,330.66,1.46,-0.05,-5.223,-3.693,13.864,15.269,360.0,81.2,360.0,65.23,18.2,100418.72,1,1
2.2,BOOST,55.9999198,94.9998934,332.13,317.0,15.13,55.9999096,94.9998786,332.08,1.46,-0.05,-5.224,-3.424,14.546,15.83,360.0,80.58,360.0,66.76,19.76,100419.07,1,1
2.3,BOOST,55.9999173,94.9998842,333.59,317.0,16.59,55.9999151,94.9998571,333.16,1.71,-0.43,-5.768,-2.511,14.921,16.193,0.0,79.94,360.0,67.14,21.35,100418.46,1,1
2.4,BOOST,55.9999152,94.999875,335.11,317.0,18.11,55.9999129,94.9998479,334.69,1.71,-0.43,-5.768,-2.204,15.598,16.776,0.0,79.28,360.0,68.4,23.0,100418.7,1,1
2.5,BOOST,55.9999139,94.9998649,336.73,317.0,19.73,55.9999197,94.9998235,336.56,2.66,-0.16,-6.345,-1.292,16.471,17.698,0.0,78.6,0.0,68.54,24.74,100417.95,1,1
2.6,BOOST,55.9999129,94.9998547,338.41,317.0,21.41,55.9999187,94.9998133,338.25,2.66,-0.16,-6.346,-0.946,17.143,18.305,0.0,77.89,360.0,69.48,26.54,100418.06,1,1
2.7,BOOST,55.999912,94.9998457,340.12,317.0,23.12,55.9999145,94.9998243,339.48,1.36,-0.65,-5.6,-0.801,17.489,18.381,360.0,77.17,0.0,72.08,28.35,100418.53,1,1
2.8,BOOST,55.9999115,94.9998367,341.91,317.0,24.91,55.9999139,94.9998153,341.26,1.36,-0.65,-5.601,-0.413,18.155,19.004,360.0,76.43,0.0,72.81,30.22,100418.59,1,1
2.9,BOOST,55.9999108,94.9998273,343.75,317.0,26.75,55.999905,94.9997983,343.1,1.93,-0.65,-5.866,-0.516,18.814,19.714,0.0,75.67,360.0,72.62,32.16,100419.58,1,1
3.0,BOOST,55.9999106,94.9998179,345.67,317.0,28.67,55.9999047,94.9997889,345.02,1.93,-0.65,-5.866,-0.084,19.47,20.335,360.0,74.89,0.0,73.23,34.16,100419.61,1,1
3.1,BOOST,55.9999108,94.9998088,347.66,317.0,30.66,55.999906,94.9997862,347.17,1.51,-0.49,-5.659,0.435,20.212,20.994,360.0,74.09,0.0,74.32,36.23,100419.47,1,1
3.2,BOOST,55.9999114,94.9997997,349.71,317.0,32.71,55.9999066,94.9997771,349.22,1.51,-0.49,-5.659,0.913,20.859,21.632,0.0,73.28,360.0,74.63,38.36,100419.4,1,1
3.3,BOOST,55.9999123,94.9997919,351.83,317.0,34.83,55.9999049,94.9997962,351.39,0.87,-0.44,-4.847,1.273,21.523,22.099,0.0,72.45,0.0,76.89,40.54,100419.6,1,1
3.4,BOOST,55.9999137,94.9997842,354.01,317.0,37.01,55.9999062,94.9997885,353.57,0.87,-0.44,-4.847,1.799,22.158,22.753,360.0,71.61,360.0,76.87,42.78,100419.45,1,1
3.5,BOOST,55.9999156,94.999776,356.26,317.0,39.26,55.9999091,94.9997708,355.72,0.79,-0.53,-5.116,2.398,22.739,23.43,360.0,70.75,360.0,76.05,45.09,100419.13,1,1
3.6,BOOST,55.999918,94.9997678,358.56,317.0,41.56,55.9999115,94.9997626,358.03,0.79,-0.53,-5.116,2.973,23.359,24.097,360.0,69.87,0.0,75.78,47.47,100418.86,1,1
3.7,BOOST,55.9999209,94.9997599,360.92,317.0,43.92,55.9999154,94.9997637,360.24,0.66,-0.68,-4.88,3.619,23.9,24.66,360.0,68.98,360.0,75.74,49.9,100418.42,1,1
3.8,BOOST,55.9999245,94.9997521,363.34,317.0,46.34,55.999919,94.9997559,362.66,0.66,-0.68,-4.88,4.246,24.502,25.342,0.0,68.08,0.0,75.21,52.4,100418.03,1,1
3.9,BOOST,55.9999287,94.9997442,365.82,317.0,48.82,55.9999253,94.9997462,365.19,0.39,-0.64,-4.925,4.994,25.118,26.079,0.0,67.17,0.0,74.4,54.98,100417.32,1,1
4.0,BOOST,55.9999334,94.9997363,368.37,317.0,51.37,55.9999301,94.9997383,367.73,0.39,-0.64,-4.926,5.671,25.701,26.777,360.0,66.24,360.0,73.71,57.62,100416.79,1,1
4.1,BOOST,55.9999393,94.9997283,370.98,317.0,53.98,55.9999487,94.9997277,370.77,1.05,-0.21,-4.991,6.919,26.449,27.791,360.0,65.3,360.0,72.12,60.36,100414.72,1,1
4.2,BOOST,55.9999459,94.9997203,373.65,317.0,56.65,55.9999553,94.9997197,373.45,1.05,-0.21,-4.99,7.647,27.011,28.513,360.0,64.35,0.0,71.32,63.18,100413.99,1,1
4.3,BOOST,55.9999531,94.9997126,376.38,317.0,59.38,55.9999633,94.9997196,376.24,1.22,-0.15,-4.815,8.435,27.585,29.245,360.0,63.39,360.0,70.6,66.07,100413.1,1,1
4.4,BOOST,55.999961,94.9997049,379.17,317.0,62.17,55.9999712,94.9997119,379.02,1.22,-0.15,-4.814,9.215,28.123,29.983,360.0,62.42,360.0,69.71,69.03,100412.22,1,1
4.5,BOOST,55.9999697,94.9996972,382.01,317.0,65.01,55.9999814,94.9997053,381.84,1.39,-0.16,-4.792,10.078,28.643,30.74,360.0,61.44,360.0,68.71,72.07,100411.09,1,1
4.6,BOOST,55.9999791,94.9996895,384.9,317.0,67.9,55.9999908,94.9996976,384.74,1.39,-0.16,-4.792,10.911,29.156,31.497,360.0,60.45,0.0,67.77,75.18,100410.05,1,1
